FileName,min1,max1,avg1,stdev1,p10_1,p90_1,min2,max2,avg2,stdev2,p10_2,p90_2,min3,max3,avg3,stdev3,p10_3,p90_3,min4,max4,avg4,stdev4,p10_4,p90_4,min5,max5,avg5,stdev5,p10_5,p90_5,min6,max6,avg6,stdev6,p10_6,p90_6,min7,max7,avg7,stdev7,p10_7,p90_7,area_3,area_7,nbUp1,nbDown1,nbIdle1,tUp1,tDown1,tIdle1,Total1,nbUp2,nbDown2,nbIdle2,tUp2,tDown2,tIdle2,Total2,nbUp3,nbDown3,nbIdle3,tUp3,tDown3,tIdle3,Total3,nbUp6,nbDown6,nbIdle6,tUp6,tDown6,tIdle6,Total6,nbUp7,nbDown7,nbIdle7,tUp7,tDown7,tIdle7,Total7,RangeA
u00197,7,788,514.3812625,172.8227841,296,724,0,820,536.9935302,172.2461357,312,736,6,832,497.9720786,151.4943609,290,664,60,442,369.6956522,57.34415985,323,424,102,999,892.0157171,108.1985805,808,964,0,1023,670.4086433,213.6884126,410,964,0,811,489.0372093,135.308384,304,639,19273783,25616424,13,13,21,14996,15025,4418,34452,29,30,28,20228,26742,8591,55561,64,65,3,13143,14562,2315,30020,20,21,8,11602,13771,3689,29062,37,38,6,8341,16190,3337,27868,Severe
u00201,15,1023,816.8804921,202.5629445,567,997,3,937,616.1472868,206.8668462,349,846,1,855,466.7403433,153.3019157,240,620,17,431,327.2770701,83.88560777,207,405,66,943,736.5086207,151.4361835,577,917,3,915,619.7617801,218.5742584,306,876,7,744,458.7873737,122.3506411,296,587,24654980,22311975,4,5,5,2541,8560,330,11431,25,26,23,12818,16518,1968,31304,57,58,9,11459,14049,12236,37744,22,22,29,10183,14366,3371,27933,33,31,10,5738,14609,2901,23248,Severe
u00208,0,944,667.4989926,173.7346579,440,818,2,935,669.1227803,202.1007643,385,873,8,1017,649.7612232,189.6668052,377,846,70,774,607.9456681,130.8381296,444,743,35,1023,946.2056452,119.4049435,906,1023,14,1023,786.9971778,213.9565337,499,1023,8,1023,611.4160905,168.9577681,384,792,19125406,28349175,6,6,9,7143,11194,2852,21202,20,19,27,13123,14812,7230,35191,55,56,19,9959,11586,8895,30440,20,21,27,7199,8015,8204,23418,35,36,27,5530,11980,4325,21835,Severe
u00212,17,867,698.3110647,127.9220198,540,830,0,867,527.0808824,199.4031623,239,753,6,845,487.2183138,165.6951695,262,692,180,944,794.7597173,109.3582126,753,910,46,840,706.2952381,146.9732396,547,809,29,822,555.1174334,164.7607176,323,752,0,1023,452.1754983,151.9111705,262,636,16818285,34070593,1,2,2,534,7201,544,8279,18,19,18,7119,10242,1444,18805,59,60,39,14163,13481,4359,32003,18,19,5,6022,6223,507,12752,35,36,10,8974,15487,5714,30175,Severe
u00213,8,1017,724.5169133,227.543403,426,962,12,1023,762.9846819,206.8408331,503,1020,0,1023,788.8244435,197.4151478,523,1013,6,938,796.276824,140.664317,708,894,235,1023,993.2903226,114.7384925,1011,1023,44,1023,883.435773,162.382751,708,1023,3,1023,740.42863,167.7269787,541,906,27806055,35481977,13,12,18,8878,14221,3520,26645,25,26,48,13214,19169,7282,39665,61,62,4,8510,17929,3279,29718,31,32,66,13940,20172,16185,50297,42,43,5,7013,18347,4754,30114,Severe
u00228,0,945,657.7467213,187.9385006,427,850,0,928,695.2773767,182.2775093,448,868,0,902,607.8957247,177.4374292,347,786,0,518,304.4117647,148.7625534,96,493,302,1023,924.2216749,130.2793462,778,1023,0,1023,695.3075461,201.2265915,439,931,3,1023,611.7616279,164.1139882,397,779,11560115,29781509,11,12,19,10372,9185,5890,25447,21,22,10,8114,12515,4305,24934,64,65,3,7136,14446,974,22556,86,86,77,74829,39626,114456,228911,38,36,12,6201,14235,2796,23232,Severe
u00004,8,885,579.3046272,158.8839606,366,736,4,761,523.1366885,167.3042392,270,679,0,753,407.4116517,163.9651615,164,615,46,448,288.1278195,75.66893533,175,380,49,732,604.7274143,71.22534932,563,679,0,886,492.1149826,200.6572187,236,799,11,726,389.7583445,140.4086852,169,534,9280576,14815381,9,9,6,10034,11707,1103,22857,27,27,9,16908,25277,4092,46290,60,61,5,13367,11762,1105,26234,20,21,2,10161,10808,406,21375,44,39,10,7958,11238,1937,21146,Normal
u00018,13,933,713.6074896,175.2341506,459,894,10,964,617.4485075,203.3955769,342,893,11,1023,742.1653509,194.5167803,504,949,92,930,799.5493562,139.5288822,693,887,146,967,828.4965278,108.186959,753,923,8,794,452.8235294,168.7841497,209,667,35,1023,654.9528796,148.1856809,472,810,14204747,22171288,4,2,3,8425,10816,741,19995,19,20,6,16730,20178,3081,39989,27,28,8,3600,17159,2117,22876,19,19,2,10115,5885,451,16464,16,17,5,4909,12934,989,18832,Normal
u00022,41,1023,859.1455882,168.1496302,686,1023,4,1018,707.1692053,224.5359165,389,952,6,980,611.5832444,174.9787044,386,835,35,754,620.3474936,96.71645244,487,702,324,1023,867.6410923,121.096622,708,1023,5,1023,536.9969766,248.0652396,222,876,16,1023,534.7674538,152.7076418,329,710,21551305,26137932,9,10,21,9482,10234,3199,22915,28,28,22,19906,22733,5772,48424,60,48,22,14863,14015,3141,32032,32,32,24,20324,9972,8896,39205,41,39,13,8207,14634,3438,26279,Normal
u00034,1,878,497.5442122,160.0772153,295,708,1,796,438.7533156,164.772716,188,630,13,876,446.9552789,151.2812632,227,618,24,529,400.1212121,92.25813182,267,491,99,833,660.363786,120.205875,535,758,24,758,497.7506983,177.9634421,258,713,10,836,468.0522936,142.8925309,275,628,15345642,17043234,9,9,11,8500,9357,1564,19434,26,26,8,17767,14187,5356,37323,64,65,3,11917,16339,3155,31411,23,24,10,10512,10790,1763,23065,42,43,3,7344,16414,4385,28143,Normal
u00043,0,419,254.9548822,104.3537679,90,380,0,353,175.0761707,89.86284213,52,296,2,557,279.3461924,125.2585332,104,446,6,401,252.1020613,58.76860244,186,330,17,501,422.5793612,57.7919842,365,476,0,469,254.9442086,116.1248236,89,414,3,508,266.5535181,105.4980297,121,401,10149626,11121705,16,17,20,8754,11188,3978,23920,29,30,27,17458,25399,6114,48971,56,57,16,13810,15044,11768,40622,45,46,51,28936,37234,11392,77562,52,46,30,14282,17610,2885,34777,Normal
u00044,1,401,233.8007075,84.59414406,111,333,0,428,177.3615949,82.5202897,74,268,2,457,183.5716049,88.75285342,70,304,7,455,324.6676961,80.80796117,203,410,50,514,434.4951712,44.14911945,389,481,1,563,235.2941595,159.7493839,55,484,7,877,241.8947368,100.7733023,112,346,10355081,12466548,6,6,9,5012,6372,1829,13213,19,18,33,16848,16410,4416,37700,68,69,13,16676,12214,3404,32294,28,29,124,75240,10603,34765,120608,40,41,7,7376,13300,3448,24124,Normal
u00050,3,683,453.0651907,138.3827492,272,608,2,675,365.2501184,134.6816502,193,537,1,535,287.7295158,103.9876158,157,417,29,411,316.2693083,44.81070556,283,360,45,690,492.4974693,88.11648545,389,606,0,682,315.0658307,145.1276665,128,499,7,539,241.6878161,93.90720681,110,351,12729178,14255413,10,11,22,7728,12238,1687,21653,22,23,25,13891,15899,4068,33858,57,49,15,14999,16113,2118,33243,21,21,23,11108,14411,4531,30063,44,34,22,6790,16293,1503,24599,Normal
u00059,15,763,563.5200974,129.6717692,435,713,0,599,334.2427608,144.7353077,141,545,8,631,369.6246607,125.3107242,176,510,0,407,236.6354366,103.0010324,47,342,27,649,515.4450867,104.6491913,390,627,10,541,286.0567308,124.983447,115,471,0,754,350.2622222,105.0374998,208,468,25416553,34939225,2,3,1,1368,12348,47,13763,28,28,23,17399,18973,1974,38359,65,62,14,16921,19397,1959,38277,22,23,17,8903,7837,4481,21221,21,21,15,6160,15237,1840,23237,Normal
u00092,2,499,362.1963746,109.9770353,204,472,0,456,236.9064748,109.3404598,77,370,3,517,264.5771847,103.0750054,113,389,16,331,224.5995836,50.3043374,163,296,27,534,343.5598394,86.55922267,230,454,1,484,270.1597444,105.3718724,131,429,0,412,131.8700427,87.38324958,26,259,14214053,40460229,8,8,7,7570,7462,547,15592,30,30,35,18262,11514,2914,32690,79,80,22,18060,14410,4545,37015,29,30,22,11260,11786,4114,27160,63,59,18,10245,12310,3322,25890,Normal
u00116,8,1023,844.744907,219.1257948,534,1023,7,1023,759.9177293,216.7565052,499,1002,8,931,539.9237861,187.3189828,251,745,178,1009,922.5933529,73.47139461,881,980,342,1023,1004.675152,61.62495141,969,1023,6,1023,721.6262069,256.4132402,376,1023,2,1023,623.8892478,151.2129283,441,779,5829092,13052636,10,11,9,4744,8493,1968,15205,27,28,26,12560,18307,5175,36042,53,53,6,11123,12235,2273,25644,22,22,17,13477,10908,4272,28670,43,44,15,7950,16313,4113,28376,Normal
u00129,4,522,358.5439883,130.1550368,138,483,0,532,341.7360595,121.5781015,158,485,0,697,427.2428862,127.8243821,243,560,23,574,414.4112903,126.8923825,235,561,81,624,544.3081761,82.47652947,482,612,0,679,480.0217391,119.2760628,340,600,0,649,443.4036574,121.7512803,276,569,11782324,14011650,10,11,15,7994,5148,1662,14804,26,26,14,13728,14175,3794,31710,63,40,26,17625,14623,8261,40522,24,25,16,12549,13165,11961,37675,60,61,10,17092,16902,5667,39661,Normal
u00166,7,1023,845.8942065,206.3427257,500,1023,18,1023,847.4498626,186.9818822,619,1023,17,1023,843.645099,201.6432639,555,1023,44,782,671.5592635,80.53592236,608,740,29,1023,984.7924971,65.02094527,934,1023,8,1023,879.8896592,177.5000968,697,1023,8,1023,839.5985677,172.7814549,636,1023,16857634,26391387,4,5,5,2158,5979,867,9004,15,15,15,5844,10951,1761,18569,59,60,5,11423,15594,6462,33479,24,25,22,8309,13033,3651,24993,49,47,15,11296,19940,4838,36113,Normal
u00188,1,842,694.0286436,123.5726706,527,780,0,836,524.1419894,178.4160324,224,699,0,695,422.1390449,139.0922153,205,567,18,578,482.2796243,108.1335199,429,558,0,824,724.1247723,80.15909378,674,799,5,826,576.963017,160.2182956,386,740,0,660,434.0829088,130.3244653,247,576,22842259,20143558,1,2,1,1210,8926,724,10860,19,19,24,10604,19826,6389,36832,51,52,3,9474,16076,1750,27300,21,22,12,8948,15478,8054,32480,41,42,6,9490,16260,2015,27765,Normal
u00198,3,732,401.6863799,149.5785229,170,572,5,779,456.8586265,165.8427442,249,678,4,946,573.3741044,179.4388042,312,778,68,774,642.6601942,123.5182659,521,746,98,660,449.688,87.92999562,396,564,6,1013,595.6000755,222.6577091,315,898,7,1023,700.6224299,185.9503784,449,901,21679775,25610409,9,9,9,11274,4191,1610,17075,37,38,30,25540,22477,4635,52652,61,62,6,17822,14729,280,32831,33,33,39,23595,19933,4776,48317,37,37,14,12584,16101,1576,30274,Normal
u00204,6,779,496.1628722,192.0921556,175,703,0,905,573.9855528,193.4274643,309,786,19,922,586.2554974,167.9585548,356,764,6,433,299.6823105,94.44901322,179,398,246,1023,942.9034091,131.8607351,851,1023,5,897,541.4602076,172.9179301,322,746,5,951,481.0315508,138.691001,302,640,15952868,12400672,14,15,14,9131,4305,1253,14689,31,32,19,14867,11996,4172,31035,71,72,6,16986,14397,1633,33016,21,22,17,12686,8706,5940,27332,59,60,24,20522,14098,7391,42011,Normal
u00216,0,1023,823.4227799,220.1153407,516,1005,0,1023,793.1435935,223.7863298,505,1005,0,868,505.7102455,165.1149637,291,702,18,841,616.9406528,139.9304761,505,781,43,1023,923.005618,156.3160395,774,1023,0,1016,601.8559126,228.1999695,318,931,0,1023,511.9115839,144.9349648,371,677,11369089,38831551,14,15,16,10059,11698,4856,26613,31,30,36,23928,30638,11836,66428,55,56,11,13558,14118,11127,38803,67,68,23,34703,22747,18016,75466,29,29,10,5433,15906,7116,28468,Normal
u00226,5,802,652.4724596,143.0055676,498,777,0,917,697.4763362,172.5525382,486,864,0,1023,730.1421999,196.183425,447,914,45,817,707.3970696,113.5209839,545,793,82,1023,900.230179,107.7372842,802,1023,0,1023,760.4799814,162.4196084,587,937,0,1023,686.6814371,183.0974572,451,866,14962723,17162557,9,9,7,10246,15838,1369,27466,31,30,27,24021,36875,4866,65788,60,61,8,18759,18020,7134,43913,37,36,34,37372,48486,45412,131283,55,55,16,19430,18865,5717,44025,Normal
u00231,36,1023,880.6418473,162.7065891,565,1005,0,1023,764.0164878,198.4624709,512,989,0,1023,714.1371539,197.9775305,478,921,63,688,470.310962,120.1169626,322,623,116,1023,857.0815451,190.1432474,560,1022,0,1023,662.8478105,216.5905962,397,937,0,943,709.2626728,146.2538045,515,861,20818240,26828455,2,2,4,4216,15941,1537,21707,20,18,14,18532,28731,3338,50601,68,69,11,16578,23395,16405,56378,52,50,33,31567,20951,24498,77042,34,35,9,6279,16337,7510,30126,Normal
