Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;21101081601;"PRX Quantum";journal;"26913399";"American Physical Society";Yes;No;5,341;Q1;62;242;644;20656;7957;641;11,12;85,36;16,24;0;1;United States;Northern America;"American Physical Society";"2020-2025";"Applied Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
12;21100420802;"GigaScience";journal;"2047217X";"Oxford University Press";Yes;No;5,314;Q1;98;118;364;8624;4334;364;3,65;73,08;40,60;0;43;United Kingdom;Western Europe;"Oxford University Press";"2012-2025";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
13;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;5,217;Q1;51;140;180;9490;5897;179;30,12;67,79;38,94;2;44;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
14;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Institute for Operations Research and the Management Sciences";No;No;4,850;Q1;192;102;236;8480;2301;232;7,95;83,14;29,08;1;22;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2024";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
15;4700152228;"Molecular Systems Biology";journal;"17444292";"Springer Science and Business Media Deutschland GmbH";Yes;No;4,783;Q1;178;73;207;5224;1661;194;7,15;71,56;41,33;0;20;United Kingdom;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2005-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
16;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";"IEEE Computer Society";No;No;4,718;-;601;2716;6084;161746;168132;6078;25,27;59,55;25,18;0;68;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2024";"Computer Vision and Pattern Recognition; Software";"Computer Science"
17;19700170610;"IEEE Transactions on Smart Grid";journal;"19493053";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,608;Q1;253;470;1272;19087;16366;1272;11,84;40,61;26,56;0;170;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
18;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";"Wiley-Blackwell";No;No;4,562;Q1;119;19;59;1790;919;56;9,76;94,21;32,26;1;5;United States;Northern America;"Wiley-Blackwell";"1999-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
19;19169;"Journal of Operations Management";journal;"18731317, 02726963";"John Wiley &amp; Sons Inc.";No;No;4,520;Q1;228;61;137;5247;1582;122;11,05;86,02;28,66;0;20;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2025";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
20;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";"John Wiley &amp; Sons Inc.";No;No;4,501;Q1;116;43;165;7673;3623;163;22,59;178,44;25,90;0;4;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2025";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
21;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";"Management Information Systems Research Center";No;No;4,486;Q1;283;64;204;5987;2041;203;5,80;93,55;29,32;0;18;United States;Northern America;"Management Information Systems Research Center";"1980-2024";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
22;18933;"IEEE Transactions on Wireless Communications";journal;"15361276, 15582248";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,454;Q1;264;1392;2007;60786;27257;2007;12,26;43,67;27,95;0;132;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000, 2002-2025";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
23;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";"IEEE Advancing Technology for Humanity";No;No;4,450;Q1;208;699;2284;33184;31927;2284;13,67;47,47;29,23;0;47;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
24;18935;"IEEE Wireless Communications";journal;"15361284";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,406;Q1;198;214;443;3025;5631;402;11,42;14,14;25,95;0;25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2025";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
25;21101012669;"npj Digital Medicine";journal;"23986352";"Nature Publishing Group";Yes;No;4,164;Q1;104;370;588;18345;9141;517;14,67;49,58;37,67;9;96;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
26;26099;"Information Fusion";journal;"18726305, 15662535";"Elsevier B.V.";No;No;4,128;Q1;179;510;670;37954;15732;660;22,65;74,42;29,47;2;86;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
27;5900153311;"IEEE Journal on Selected Topics in Signal Processing";journal;"19324553";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,120;Q1;152;118;315;5909;4908;306;15,70;50,08;25,39;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2007-2025";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
28;21101136681;"Internet of Things and Cyber-Physical Systems";journal;"26673452";"KeAi Communications Co.";Yes;No;3,952;Q1;23;28;49;1693;1755;48;38,25;60,46;28,21;0;14;China;Asiatic Region;"KeAi Communications Co.";"2021-2024";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
29;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;3,912;Q1;77;64;189;4480;4081;185;22,57;70,00;46,88;6;22;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
30;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";"IEEE Computer Society";No;No;3,910;Q1;435;812;2070;65710;47377;2059;21,19;80,92;27,12;0;15;United States;Northern America;"IEEE Computer Society";"1978-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
31;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";"IEEE Advancing Technology for Humanity";No;No;3,863;Q1;99;288;595;11342;9257;483;14,69;39,38;29,76;0;22;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2025";"Artificial Intelligence (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
32;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,804;Q1;344;998;2070;36865;15976;2070;7,44;36,94;21,71;0;26;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
33;12396;"Journal of Strategic Information Systems";journal;"09638687";"Elsevier B.V.";No;No;3,765;Q1;114;27;68;2121;834;51;11,93;78,56;40,35;1;6;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
34;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";"Annual Reviews Inc.";No;No;3,690;Q1;46;17;71;1864;1324;71;17,07;109,65;22,22;1;6;United States;Northern America;"Annual Reviews Inc.";"2018-2024";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
35;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";"IEEE Computational Intelligence Society";No;No;3,686;Q1;269;1991;2021;97654;31905;2010;13,72;49,05;29,47;0;95;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
36;21100338322;"IEEE Geoscience and Remote Sensing Magazine";journal;"24732397, 21686831";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,662;Q1;68;81;152;9284;2376;149;16,39;114,62;29,72;0;14;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2025";"Computer Science (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy"
37;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";"M.E. Sharpe Inc.";No;No;3,652;Q1;177;46;136;3493;1170;125;6,50;75,93;24,19;0;6;United States;Northern America;"M.E. Sharpe Inc.";"1987-2024";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
38;14966;"Journal of Manufacturing Systems";journal;"02786125";"Elsevier B.V.";No;No;3,633;Q1;120;246;662;15972;12977;653;17,62;64,93;23,95;0;129;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
39;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,614;Q1;228;646;1148;28848;14780;1144;12,76;44,66;31,30;0;45;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering; Mathematics"
40;12321;"Information Systems Journal";journal;"13501917, 13652575";"Wiley-Blackwell Publishing Ltd";No;No;3,599;Q1;114;88;132;8367;1462;110;8,54;95,08;38,33;2;23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
41;110561;"Proceedings of the IEEE International Conference on Computer Vision";conference and proceedings;"15505499";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,544;-;397;0;4238;0;74546;4233;8,61;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988, 1995, 1998-1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2017, 2019, 2021, 2023";"Computer Vision and Pattern Recognition; Software";"Computer Science"
42;144747;"Computer Assisted Language Learning";journal;"17443210, 09588221";"Taylor and Francis Ltd.";No;No;3,513;Q1;86;141;254;9357;3275;252;12,67;66,36;48,94;1;29;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-1997, 2004-2025";"Computer Science Applications (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
43;25037;"IEEE Transactions on Evolutionary Computation";journal;"1089778X";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,495;Q1;222;257;364;9725;5263;357;12,51;37,84;27,27;0;21;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1997-2025";"Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
44;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";"Elsevier B.V.";No;No;3,480;Q1;204;307;799;21613;11741;794;13,72;70,40;31,49;1;101;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy; Social Sciences"
45;21101076096;"Nature Computational Science";journal;"26628457";"Springer Nature";No;No;3,472;Q1;40;160;531;5096;3616;259;6,29;31,85;26,81;0;21;United States;Northern America;"Springer Nature";"2021-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1)";"Computer Science"
46;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;3,459;Q1;139;73;130;7654;1745;120;12,44;104,85;25,33;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2025";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
47;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";"IEEE Computer Society";No;No;3,416;Q1;214;1410;2671;46862;37983;2614;13,30;33,24;28,11;0;406;United States;Northern America;"IEEE Computer Society";"2005-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
48;21101274787;"Foundations and Trends in Robotics";book series;"19358253, 19358261";"Now Publishers Inc";No;No;3,370;Q1;3;2;5;1176;83;5;16,60;588,00;27,27;0;2;United States;Northern America;"Now Publishers Inc";"2022-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering"
49;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;3,343;Q1;253;114;532;9220;8044;532;13,85;80,88;45,14;4;53;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
50;17271;"Medical Image Analysis";journal;"13618415, 13618423";"Elsevier B.V.";No;No;3,289;Q1;185;267;924;17597;14095;918;14,94;65,91;27,43;0;59;Netherlands;Western Europe;"Elsevier B.V.";"1996-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
51;17249;"IEEE Communications Magazine";journal;"01636804";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,281;Q1;295;289;698;3834;6609;578;8,37;13,27;22,10;0;40;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
52;8000153138;"Computer Science Review";journal;"15740137";"Elsevier Ireland Ltd";No;No;3,276;Q1;88;59;165;9202;3874;163;18,39;155,97;23,81;1;7;Ireland;Western Europe;"Elsevier Ireland Ltd";"2007-2025";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
53;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";"IEEE Advancing Technology for Humanity";No;No;3,254;Q1;184;672;2003;30273;22913;2003;10,82;45,05;30,41;0;67;United States;Northern America;"IEEE Advancing Technology for Humanity";"1996, 2011, 2013-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
54;21101101212;"AI Open";journal;"26666510";"KeAi Communications Co.";Yes;No;3,212;Q1;23;21;62;1049;1406;60;19,85;49,95;24,73;0;1;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
55;12137;"Journal of Statistical Software";journal;"15487660";"University of California at Los Angeles";Yes;Yes;3,211;Q1;187;39;145;2049;1310;144;8,11;52,54;21,14;2;2;United States;Northern America;"University of California at Los Angeles";"1996-2024";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
56;21100869486;"Computational Visual Media";journal;"20960662, 20960433";"Institute of Electrical and Electronics Engineers Inc.";Yes;Yes;3,166;Q1;31;59;137;3507;2768;131;19,85;59,44;30,28;0;1;China;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2015-2024";"Artificial Intelligence (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1)";"Computer Science"
57;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;3,136;Q1;232;373;486;29783;9156;476;12,79;79,85;27,85;0;13;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
58;21101055750;"Radiology: Artificial Intelligence";journal;"26386100";"Radiological Society of North America Inc.";No;No;3,128;Q1;47;102;208;2442;2045;162;10,42;23,94;31,05;0;33;United States;Northern America;"Radiological Society of North America Inc.";"2019-2025";"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
59;13300154706;"Journal of the Association for Information Systems";journal;"15369323";"Association for Information Systems";No;No;3,119;Q1;108;62;172;5330;1598;152;6,68;85,97;26,39;1;4;United States;Northern America;"Association for Information Systems";"2007-2025";"Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
60;18144;"Computer-Aided Civil and Infrastructure Engineering";journal;"14678667, 10939687";"Wiley-Blackwell Publishing Ltd";No;No;3,012;Q1;119;226;366;13727;4438;337;11,57;60,74;25,78;0;65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2025";"Civil and Structural Engineering (Q1); Computational Theory and Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
61;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;3,010;Q1;138;348;760;43594;15730;759;19,58;125,27;30,70;4;74;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
62;26053;"IEEE Transactions on Industrial Electronics";journal;"02780046";"IEEE Industrial Electronics Society";No;No;3,006;Q1;361;2035;3718;59111;37188;3714;9,67;29,05;24,47;0;380;United States;Northern America;"IEEE Industrial Electronics Society";"1969, 1973-1978, 1982-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
63;24972;"ACM Transactions on Graphics";journal;"15577368, 07300301";"Association for Computing Machinery (ACM)";No;No;2,965;Q1;264;272;844;17593;10021;844;11,64;64,68;19,78;0;15;United States;Northern America;"Association for Computing Machinery (ACM)";"1982-2024";"Computer Graphics and Computer-Aided Design (Q1)";"Computer Science"
64;95101;"IEEE Transactions on Robotics";journal;"15523098";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,965;Q1;201;308;666;17878;9371;666;12,19;58,05;20,39;0;41;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2004-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
65;19419;"Computers in Human Behavior";journal;"07475632";"Elsevier Ltd";No;No;2,923;Q1;275;363;1153;29678;16582;1140;12,44;81,76;45,28;5;92;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Arts and Humanities (miscellaneous) (Q1); Human-Computer Interaction (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Psychology"
66;12303;"Information and Management";journal;"03787206";"Elsevier B.V.";No;No;2,920;Q1;204;117;337;12121;4494;334;10,81;103,60;37,57;1;21;Netherlands;Western Europe;"Elsevier B.V.";"1977-2025";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
67;18080;"Robotics and Computer-Integrated Manufacturing";journal;"07365845";"Elsevier Ltd";No;No;2,892;Q1;133;162;451;9287;6734;446;15,44;57,33;21,77;1;114;United Kingdom;Western Europe;"Elsevier Ltd";"1984-1994, 1996-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
68;2300147402;"Proceedings of the Annual ACM Symposium on Theory of Computing";conference and proceedings;"07378017";"Association for Computing Machinery (ACM)";No;No;2,889;-;129;189;435;8152;2117;429;4,68;43,13;14,76;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-1982, 1984, 1988, 1991-1994, 1996, 2000, 2005-2024";"Software";"Computer Science"
69;21100850798;"npj Computational Materials";journal;"20573960";"Nature Publishing Group";Yes;No;2,835;Q1;97;294;681;19905;7877;676;11,24;67,70;23,69;0;37;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2025";"Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)";"Computer Science; Engineering; Materials Science; Mathematics"
70;21100976127;"IEEE Transactions on Intelligent Vehicles";journal;"23798858";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,821;Q1;74;795;591;19633;8385;582;14,07;24,70;24,59;0;200;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2024";"Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1)";"Computer Science; Engineering; Mathematics"
